Channel Id,Channel Url,Channel Title
UCqwxMqUcL-XC3D9-fTP93Mg,http://www.youtube.com/channel/UCqwxMqUcL-XC3D9-fTP93Mg,LIL UZI VERT
UCyjKBSGMcxdGbSD86iq_SBw,http://www.youtube.com/channel/UCyjKBSGMcxdGbSD86iq_SBw,drain gang

